"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"11/14/2009","65","PM2.5","South DeKalb","13-089-0002","AQS"
"11/15/2009","74","PM2.5","Fire Station #8","13-121-0039","AQS"
"11/16/2009","88","PM2.5","E. Rivers School","13-121-0032","AQS"
"11/17/2009","83","PM2.5","Gwinnett","13-135-0002","AQS"
"11/18/2009","71","PM2.5","Doraville","13-089-2001","AQS"
"11/19/2009","82","PM2.5","E. Rivers School","13-121-0032","AQS"
"11/20/2009","55","PM2.5","South DeKalb","13-089-0002","AQS"
"11/21/2009","69","PM2.5","E. Rivers School","13-121-0032","AQS"
"11/22/2009","56","PM2.5","Doraville","13-089-2001","AQS"
"11/23/2009","42","PM2.5","Doraville","13-089-2001","AQS"
"11/24/2009","58","PM2.5","Doraville","13-089-2001","AQS"
"11/25/2009","62","PM2.5","E. Rivers School","13-121-0032","AQS"
"11/26/2009","51","PM2.5","South DeKalb","13-089-0002","AQS"
"11/27/2009","59","PM2.5","Gwinnett","13-135-0002","AQS"
"11/28/2009","59","PM2.5","Kennesaw","13-067-0003","AQS"
"11/29/2009","61","PM2.5","Kennesaw","13-067-0003","AQS"
"11/30/2009","52","PM2.5","Forest Park","13-063-0091","AQS"
"12/01/2009","42","PM2.5","United Avenue","13-121-0055","AQS"
"12/02/2009","30","Ozone","Georgia Station","13-231-9991","AQS"
"12/03/2009","42","PM2.5","United Avenue","13-121-0055","AQS"
"12/04/2009","61","PM2.5","E. Rivers School","13-121-0032","AQS"
"12/05/2009","61","PM2.5","E. Rivers School","13-121-0032","AQS"
"12/06/2009","63","PM2.5","South DeKalb","13-089-0002","AQS"
"12/07/2009","76","PM2.5","Doraville","13-089-2001","AQS"
"12/08/2009","61","PM2.5","Kennesaw","13-067-0003","AQS"
"12/09/2009","40","Ozone","Georgia Station","13-231-9991","AQS"
"12/10/2009","52","PM2.5","United Avenue","13-121-0055","AQS"
"12/11/2009","40","PM2.5","United Avenue","13-121-0055","AQS"
"12/12/2009","44","PM2.5","E. Rivers School","13-121-0032","AQS"
"12/13/2009","67","PM2.5","E. Rivers School","13-121-0032","AQS"
"12/14/2009","64","PM2.5","E. Rivers School","13-121-0032","AQS"
"12/15/2009","51","PM2.5","Forest Park","13-063-0091","AQS"
"12/16/2009","58","PM2.5","Kennesaw","13-067-0003","AQS"
"12/17/2009","67","PM2.5","South DeKalb","13-089-0002","AQS"
"12/18/2009","37","PM2.5","E. Rivers School","13-121-0032","AQS"
"12/19/2009","47","PM2.5","United Avenue","13-121-0055","AQS"
"12/20/2009","58","PM2.5","United Avenue","13-121-0055","AQS"
"12/21/2009","81","PM2.5","E. Rivers School","13-121-0032","AQS"
"12/22/2009","88","PM2.5","Doraville","13-089-2001","AQS"
"12/23/2009","75","PM2.5","Doraville","13-089-2001","AQS"
"12/24/2009","66","PM2.5","Gwinnett","13-135-0002","AQS"
"12/25/2009","37","Ozone","Georgia Station","13-231-9991","AQS"
"12/26/2009","63","PM2.5","E. Rivers School","13-121-0032","AQS"
